timestamp_us,kernel,family,Q,repeat,latency_ms_mean,latency_ms_std,recall_mean,recall_std,coarse_ms_mean,rerank_ms_mean,build_time_sec
1778120568444993,pq-m16-p500,pq,2000,3,3.011000,0.018248,0.996151,0.000000,2.805000,0.205333,1.128355
1778120594917897,flat-neon,flat,2000,3,7.389333,0.378434,0.999950,0.000000,0.000000,0.000000,0.000000
1778120640030284,pq-m16-p1000,pq,2000,3,3.508333,0.049652,0.999750,0.000000,3.090667,0.416333,1.363853
1778120644677223,pq-m16-p2000,pq,2000,3,4.449667,0.074809,0.999950,0.000000,3.635000,0.813333,1.195834
1778120647871105,pq-m8-p5000,pq,2000,3,5.074000,0.032450,0.999450,0.000000,3.410667,1.661333,1.157178
1778120801910088,flat-neon,flat,2000,3,9.398667,1.681460,0.999950,0.000000,0.000000,0.000000,0.000000
1778120837551705,pq-m16-p2000,pq,2000,3,4.340333,0.042016,0.999950,0.000000,3.522667,0.816000,1.080153
1778121024835776,pqsel-m16-p2000,pqsel,2000,3,3.611333,0.056083,0.999950,0.000000,3.072667,0.536667,1.103277
1778121062475611,pqsel-m16-p2000,pqsel,2000,3,3.584000,0.012490,0.999950,0.000000,3.057667,0.525333,1.084811
1778129029790183,fssdc-m16-p1000-b32,fssdc,200,1,3.050000,0.000000,0.993500,0.000000,2.858000,0.190000,1.038674
1778129034829249,fsadc-m16-p2000-b32,fsadc,200,1,3.296000,0.000000,1.000000,0.000000,2.881000,0.413000,1.188156
1778129035265227,sdc-m16-p1000,sdc,200,1,3.729000,0.000000,0.993000,0.000000,3.452000,0.276000,1.351309
1778129084340592,fsadc-m16-p2000-b32,fsadc,2000,3,3.533000,0.084788,0.999950,0.000000,2.997333,0.533667,1.058629
1778129085465145,fsadc-m16-p1500-b32,fsadc,2000,3,3.415333,0.065546,0.999950,0.000000,2.949667,0.463667,1.117425
1778129086123779,fsadc-m16-p1000-b32,fsadc,2000,3,3.186333,0.013577,0.999750,0.000000,2.877000,0.307333,1.190965
1778129133687495,fsadc-m16-p1400-b32,fsadc,2000,3,3.479667,0.197515,0.999950,0.000000,3.065333,0.412333,1.060607
1778129134949174,fsadc-m16-p1300-b32,fsadc,2000,3,3.368000,0.081505,0.999850,0.000000,2.938333,0.428000,1.121085
1778129136333175,fsadc-m16-p1200-b32,fsadc,2000,3,3.275000,0.006245,0.999850,0.000000,2.887000,0.385667,1.205378
1778129196370397,fsadc-m16-p1500-b64,fsadc,2000,3,3.178667,0.020108,0.999950,0.000000,2.752333,0.424667,1.128746
1778129198067648,fsadc-m16-p1500-b16,fsadc,2000,3,3.658333,0.057553,0.999950,0.000000,3.214667,0.441333,1.061810
1778129228302020,fsadc-m16-p1500-b128,fsadc,2000,3,3.293000,0.155174,0.999950,0.000000,2.793333,0.497333,1.056480
1778129984361213,fsadc-m16-p1500-b64,fsadc,2000,3,3.124333,0.020033,0.999950,0.000000,2.746667,0.375667,1.122411
